CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP
0.25,1.0,13.0,11.0,53.0,35.0,13.0,8.0,0.0,28.0,2.0,4.8
0.28,1.0,16.0,15.0,39.0,29.0,4.0,10.0,0.0,27.0,17.0,4.6
0.32,2.0,25.0,23.0,26.0,32.0,6.0,12.0,0.0,25.0,27.0,4.5
0.33,1.0,21.0,19.0,23.0,32.0,6.0,14.0,0.0,23.0,17.0,3.4
0.44,3.0,26.0,23.0,17.0,40.0,8.0,16.0,0.0,22.0,356.0,2.5
0.72,17.0,52.0,35.0,6.0,72.0,5.0,18.0,0.0,21.0,335.0,1.7
0.61,6.0,44.0,38.0,7.0,50.0,19.0,21.0,1.0,21.0,300.0,2.6
0.77,17.0,54.0,37.0,2.0,52.0,9.0,23.0,0.0,19.0,299.0,1.8
0.75,16.0,52.0,36.0,2.0,32.0,12.0,26.0,0.0,18.0,303.0,0.8
0.78,20.0,55.0,35.0,2.0,25.0,14.0,29.0,0.0,17.0,16.0,1.3
1.31,99.0,134.0,36.0,2.0,18.0,9.0,32.0,2.0,16.0,83.0,1.0
1.19,79.0,113.0,35.0,2.0,30.0,10.0,33.0,2.0,15.0,59.0,1.0
1.25,93.0,132.0,38.0,2.0,48.0,22.0,35.0,2.0,14.0,125.0,0.7
1.82,158.0,195.0,37.0,2.0,48.0,19.0,36.0,4.0,14.0,128.0,0.4
2.96,312.0,366.0,53.0,3.0,68.0,32.0,36.0,8.0,14.0,98.0,1.0
1.98,199.0,259.0,61.0,3.0,83.0,34.0,31.0,6.0,15.0,78.0,1.4
1.48,98.0,170.0,72.0,7.0,77.0,37.0,26.0,4.0,18.0,117.0,0.8
1.39,56.0,133.0,77.0,16.0,68.0,38.0,19.0,3.0,21.0,350.0,1.2
0.95,19.0,74.0,55.0,34.0,65.0,39.0,13.0,1.0,24.0,13.0,1.5
0.5,7.0,32.0,25.0,45.0,45.0,27.0,8.0,1.0,26.0,351.0,2.4
0.33,2.0,17.0,15.0,55.0,25.0,17.0,6.0,0.0,27.0,56.0,2.3
0.33,2.0,17.0,15.0,63.0,14.0,28.13929539295393,5.0,0.0,28.0,332.0,2.2
0.39,4.0,22.0,18.0,61.0,23.0,11.0,4.0,0.0,29.0,297.0,2.2
0.53,8.0,36.0,29.0,60.0,27.0,1.0,4.0,1.0,29.0,307.0,2.5
0.6,8.0,40.0,32.0,52.0,26.0,10.0,4.0,0.0,29.0,278.0,2.7
0.9,13.0,63.0,50.0,28.0,30.0,11.0,5.0,1.0,28.0,328.0,2.4
0.81,6.0,58.0,52.0,29.0,60.0,12.0,13.0,1.0,26.0,44.0,2.8
0.86,26.0,90.0,65.0,16.0,56.0,16.0,19.0,1.0,24.0,43.0,2.6
0.67,7.0,50.0,42.0,7.0,64.0,22.0,18.0,0.0,22.0,16.0,2.5
0.88,21.0,62.0,41.0,3.0,39.0,12.0,19.0,1.0,22.0,323.0,1.8
1.9,5.0,40.0,35.67358384744812,37.599162011173185,65.0,44.0,24.0,2.0,21.0,349.0,1.3
0.53,5.0,43.0,37.0,7.0,39.0,13.0,22.0,1.0,20.0,308.0,2.7
0.52,5.0,43.0,38.0,6.0,40.0,15.0,23.0,2.0,19.0,257.0,1.3
0.62,10.0,50.0,41.0,4.0,30.0,14.0,26.0,1.0,18.0,259.0,0.8
0.86,34.0,78.0,44.0,2.0,27.0,15.0,30.0,1.0,17.0,195.0,0.5
0.94,34.0,81.0,47.0,1.0,34.0,21.0,34.0,1.0,16.0,194.0,0.5
1.21,55.0,104.0,48.0,2.0,49.0,24.0,37.0,2.0,15.0,183.0,0.5
1.45,75.0,122.0,48.0,2.0,36.0,29.0,37.0,2.0,15.0,174.0,0.7
2.7,225.0,272.0,47.0,3.0,86.0,77.0,37.0,5.0,15.0,29.0,1.3
2.43,174.0,230.0,56.0,3.0,64.0,44.0,33.0,5.0,16.0,70.0,1.0
2.02,140.0,226.0,86.0,5.0,78.0,50.0,29.0,5.0,18.0,73.0,1.3
1.94,83.0,183.0,100.0,10.0,83.0,59.0,24.0,4.0,21.0,73.0,1.6
1.03,22.0,86.0,64.0,40.0,80.0,63.0,20.0,3.0,24.0,6.0,1.6
0.61,5.0,33.0,29.0,66.0,60.0,48.0,13.0,3.0,26.0,307.0,1.8
0.54,3.0,28.0,25.0,84.0,37.0,31.0,9.0,2.0,27.0,342.0,1.9
0.55,2.0,26.0,24.0,100.0,34.0,27.0,9.0,2.0,28.0,179.0,1.7
0.54,1.0,25.0,24.0,108.0,38.0,22.0,9.0,2.0,29.0,43.0,1.9
0.44,0.0,19.0,19.0,115.0,51.0,32.0,8.0,2.0,29.0,122.0,1.8
0.6,1.0,30.0,29.0,106.0,51.0,32.0,8.0,2.0,29.0,75.0,1.4
0.61,0.0,32.0,32.0,80.0,47.0,31.0,12.0,1.0,28.0,122.0,3.1
0.71,1.0,33.0,33.0,58.0,86.0,41.0,16.0,1.0,25.0,165.0,3.2
0.86,0.0,46.0,46.0,44.0,68.0,30.0,18.0,1.0,24.0,111.0,1.7
1.18,10.0,74.0,64.0,23.0,52.0,30.0,19.0,1.0,23.0,170.0,1.0
1.52,16.0,97.0,81.0,7.0,55.0,34.0,22.0,1.0,22.0,154.0,1.2
0.48,3.0,40.0,37.0,24.0,44.0,31.0,19.0,2.0,21.0,293.0,3.0
0.77,5.0,40.0,35.67358384744812,37.599162011173185,76.0,44.0,26.0,2.0,21.0,353.0,3.0
0.77,5.0,40.0,35.67358384744812,37.599162011173185,77.0,47.0,29.0,2.0,20.0,239.0,3.0
0.77,5.0,40.0,35.67358384744812,37.599162011173185,39.0,27.0,32.0,2.0,19.0,132.0,0.9
0.96,9.0,65.0,56.0,6.0,55.0,41.0,33.0,1.0,18.0,179.0,1.0
1.1,20.0,78.0,58.0,2.0,39.0,31.0,36.0,1.0,17.0,110.0,0.7
1.93,141.0,198.0,57.0,2.0,41.0,33.0,37.0,3.0,16.0,97.0,0.9
1.38,113.0,174.0,61.0,2.0,72.0,53.0,33.0,5.0,16.0,89.0,1.2
1.93,151.0,209.0,59.0,3.0,87.0,62.0,34.0,6.0,16.0,131.0,0.6
1.7,126.0,197.0,72.0,4.0,90.0,71.0,30.0,6.0,18.0,32.0,0.7
1.61,63.0,144.0,81.0,12.0,93.0,73.0,28.0,5.0,20.0,95.0,1.0
1.13,23.0,89.0,66.0,33.0,88.0,71.0,25.0,4.0,23.0,309.0,1.3
0.91,6.0,54.0,47.0,68.0,62.0,52.0,22.0,3.0,24.0,50.0,1.7
0.96,4.0,51.0,46.0,94.0,72.0,61.0,17.0,4.0,26.0,310.0,2.0
0.73,2.0,36.0,33.0,106.0,84.0,66.0,13.0,5.0,28.0,358.0,2.2
0.57,2.0,27.0,26.0,99.0,85.0,63.0,10.0,6.0,29.0,351.0,2.2
0.77,1.0,22.0,35.67358384744812,37.599162011173185,51.95631067961165,28.13929539295393,9.0,2.0,29.0,216.0,2.0
0.69,3.0,38.0,35.0,37.599162011173185,0.0,28.13929539295393,10.0,5.0,30.0,198.0,2.2
0.65,1.0,33.0,31.0,103.0,0.0,28.13929539295393,10.0,6.0,29.0,301.0,1.5
0.66,0.0,33.0,32.0,89.0,51.95631067961165,28.13929539295393,16.0,4.0,28.0,36.0,3.0
0.71,0.0,38.0,37.0,57.0,126.0,47.0,21.0,2.0,26.0,53.0,4.2
0.41,1.0,26.0,26.0,44.0,89.0,59.0,14.0,0.0,24.0,32.0,4.8
0.43,1.0,26.0,25.0,43.0,60.0,40.0,12.0,0.0,23.0,3.0,3.5
0.56,4.0,44.0,40.0,24.0,36.0,26.0,14.0,1.0,22.0,300.0,2.8
1.06,11.0,60.0,49.0,10.0,46.0,41.0,32.0,1.0,21.0,192.0,1.6
0.41,1.0,32.0,31.0,31.0,42.0,32.0,22.0,1.0,20.0,301.0,3.1
0.41,1.0,27.0,26.0,31.0,42.0,34.0,39.0,3.0,18.0,307.0,4.2
0.42,0.0,22.0,22.0,30.0,48.0,39.0,49.0,21.0,17.0,300.0,3.3
0.39,1.0,17.0,16.0,33.0,39.0,34.0,55.0,20.0,16.0,303.0,2.8
0.44,2.0,27.0,26.0,23.0,40.0,34.0,57.0,24.0,15.0,317.0,2.9
0.85,11.0,51.0,41.0,9.0,39.0,34.0,59.0,23.0,15.0,309.0,1.7
1.01,27.0,72.0,45.0,5.0,39.0,35.0,59.0,21.0,15.0,317.0,1.5
1.09,98.0,150.0,52.0,2.0,39.0,36.0,64.0,13.0,14.0,93.0,1.4
