CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP
0.31,1.0,9.0,7.0,46.0,51.0,8.0,9.0,4.0,26.0,5.0,3.1
0.37,1.0,11.0,10.0,37.0,41.0,7.0,12.0,4.0,24.0,3.0,3.3
0.46,1.0,16.0,15.0,27.0,27.0,4.0,16.0,4.0,22.0,2.5,3.0
0.53,1.0,20.0,18.0,20.0,27.0,6.0,18.0,3.0,20.0,2.0,2.3
0.64,4.0,31.0,27.0,10.0,22.0,7.0,20.0,4.0,19.0,64.0,2.1
0.8,18.0,57.0,39.0,2.0,21.0,8.0,22.0,4.0,18.0,160.0,2.0
1.21,60.0,107.0,47.0,1.0,51.0,14.0,26.0,6.0,18.0,247.0,1.5
1.0,20.0,56.0,36.0,1.0,23.0,6.0,29.0,4.0,17.0,126.0,1.0
1.01,22.0,57.0,35.0,2.0,23.0,8.0,31.0,4.0,16.0,127.0,0.8
1.03,29.0,61.0,32.0,2.0,21.0,9.0,35.0,4.0,15.0,69.0,1.0
0.71,9.0,41.0,32.0,2.0,23.0,10.0,35.0,4.0,14.0,93.0,1.1
0.88,21.0,52.0,31.0,1.0,21.0,6.0,38.0,5.0,13.0,51.0,1.0
1.28,80.0,112.0,32.0,1.0,37.0,18.0,44.0,6.0,12.0,9.0,1.0
2.02,148.0,181.0,32.0,1.0,47.0,18.0,45.0,7.0,12.0,111.0,0.7
3.56,252.0,293.0,41.0,2.0,51.0,17.0,42.0,9.0,12.0,24.0,0.9
2.17,108.0,152.0,44.0,4.0,65.0,23.0,35.0,7.0,13.0,17.0,1.2
1.96,69.0,130.0,61.0,9.0,55.0,21.0,31.0,6.0,16.0,44.0,1.1
1.46,32.0,96.0,64.0,23.0,61.0,24.0,24.0,5.0,18.0,133.0,1.3
1.16,18.0,75.0,57.0,36.0,57.0,29.0,18.0,5.0,21.0,126.0,1.4
0.58,9.0,37.0,28.0,40.0,52.0,28.0,12.0,4.0,23.0,15.0,1.7
0.43,3.0,18.0,14.0,52.0,26.0,12.0,10.0,4.0,24.0,348.0,1.7
0.41,2.0,15.0,13.0,59.0,18.0,7.0,9.0,4.0,25.0,39.0,1.6
0.43,3.0,19.0,16.0,61.0,24.0,11.0,7.0,4.0,26.0,105.0,1.6
0.43,3.0,19.0,17.0,59.0,34.0,12.0,6.0,4.0,27.0,251.0,1.8
0.51,3.0,27.0,24.0,56.0,28.0,10.0,6.0,4.0,26.0,180.0,1.7
0.65,4.0,36.0,32.0,43.0,37.0,13.0,11.0,4.0,25.0,68.0,1.9
0.67,1.0,23.0,23.0,52.0,51.0,14.0,21.0,4.0,23.0,84.0,2.0
0.85,1.0,30.0,30.0,43.0,50.0,15.0,23.0,5.0,22.0,114.0,1.7
1.01,2.0,38.0,37.0,31.0,50.0,16.0,25.0,4.0,20.0,120.0,1.3
1.05,2.0,26.0,26.44950213371266,44.00657894736842,54.0,25.0,27.0,3.0,19.0,63.0,1.4
0.76,15.0,59.0,44.0,2.0,60.0,18.0,28.0,5.0,18.0,231.0,1.0
0.96,18.0,59.0,41.0,2.0,46.0,14.0,32.0,5.0,17.0,157.0,1.0
0.79,7.0,49.0,42.0,5.0,33.0,10.0,35.0,5.0,16.0,124.0,1.2
0.91,4.0,49.0,45.0,4.0,36.0,18.0,36.0,5.0,15.0,120.0,1.3
0.78,3.0,41.0,39.0,7.0,43.0,17.0,39.0,5.0,14.0,92.0,1.2
0.84,9.0,51.0,41.0,4.0,58.0,32.0,40.0,5.0,13.0,103.0,1.1
1.16,30.0,74.0,44.0,2.0,45.0,25.0,39.0,5.0,13.0,77.0,1.1
2.34,110.0,155.0,45.0,2.0,38.0,16.0,45.0,7.0,12.0,44.0,1.1
2.71,136.0,191.0,54.0,3.0,67.0,23.0,41.0,8.0,13.0,26.0,0.9
2.07,67.0,135.0,67.0,10.0,87.0,33.0,34.0,6.0,16.0,42.0,1.1
1.92,37.0,118.0,81.0,22.0,78.0,35.0,27.0,6.0,19.0,85.0,1.1
1.14,13.0,64.0,51.0,46.0,82.0,39.0,23.0,6.0,22.0,18.0,1.4
0.65,5.0,32.0,27.0,61.0,60.0,29.0,17.0,6.0,23.0,29.0,1.6
0.5,4.0,24.0,20.0,69.0,44.0,21.0,12.0,6.0,25.0,46.0,1.6
0.53,2.0,23.0,21.0,84.0,38.0,17.0,12.0,6.0,26.0,21.0,1.6
0.51,1.0,17.0,15.0,97.0,69.0,21.0,10.0,6.0,26.0,20.0,1.6
0.46,1.0,13.0,12.0,93.0,75.0,25.0,9.0,6.0,27.0,32.0,1.4
0.57,1.0,19.0,18.0,96.0,60.0,22.0,11.0,6.0,27.0,33.0,1.8
0.66,1.0,23.0,22.0,63.0,77.0,24.0,17.0,5.0,24.0,88.0,2.2
