CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP
1.04,5.0,55.0,50.0,8.0,61.0,28.0,39.0,2.0,17.0,160.0,1.2
0.78,2.0,48.0,46.0,8.0,61.0,30.0,40.0,3.0,16.0,180.0,1.2
0.78,22.0,60.0,38.0,13.0,49.0,22.0,41.0,3.0,15.0,289.0,1.2
0.77,22.0,64.0,42.0,10.0,57.0,23.0,43.0,3.0,15.0,111.0,1.1
0.67,17.0,59.0,42.0,7.0,57.0,28.0,46.0,3.0,14.0,145.0,1.1
0.86,25.0,73.0,48.0,4.0,57.0,31.0,46.0,3.0,14.0,103.0,0.8
1.09,22.0,72.0,50.0,2.0,59.0,33.0,46.0,3.0,13.0,56.0,1.1
2.11,88.0,136.0,48.0,3.0,42.0,17.0,51.0,4.0,13.0,62.0,1.1
1.56,56.0,108.0,52.0,7.0,72.0,28.0,44.0,4.0,15.0,126.0,1.1
1.49,41.0,109.0,68.0,16.0,82.0,35.0,38.0,4.0,17.0,88.0,1.1
1.05,14.0,71.0,56.0,40.0,99.0,43.0,31.0,4.0,19.0,71.0,1.2
0.78,6.0,44.0,38.0,65.0,75.0,35.0,27.0,3.0,21.0,67.0,1.5
0.47,2.0,22.0,20.0,81.0,78.0,34.0,22.0,3.0,23.0,41.0,1.6
0.28,1.0,12.0,10.0,72.0,76.0,30.0,19.0,2.0,25.0,19.0,2.2
0.28,1.0,11.0,9.0,63.0,78.0,21.0,18.0,2.0,26.0,15.0,2.2
0.29,2.0,13.0,12.0,67.0,86.0,19.0,16.0,2.0,27.0,13.0,2.4
0.28,1.0,12.0,11.0,66.0,83.0,18.0,17.0,2.0,27.0,16.0,2.6
0.3,1.0,12.0,11.0,59.0,83.0,19.0,19.0,2.0,26.0,30.0,2.8
0.36,1.0,15.0,14.0,54.0,92.0,17.0,24.0,2.0,24.0,132.0,2.9
0.4,1.0,17.0,16.0,47.0,81.0,17.0,26.0,2.0,22.0,130.0,2.8
0.47,1.0,20.0,19.0,41.0,56.0,14.0,28.0,2.0,21.0,118.0,2.4
0.61,1.0,26.0,25.0,33.0,48.0,15.0,28.0,2.0,20.0,139.0,1.7
0.49,1.0,21.0,20.0,33.0,63.0,22.0,31.0,2.0,20.0,135.0,1.8
0.31,1.0,15.0,14.0,26.0,16.0,5.0,23.0,1.0,19.0,27.0,2.0
0.46,1.0,20.0,19.0,27.0,50.0,23.0,35.0,2.0,18.0,158.0,1.5
0.4,1.0,21.0,20.0,23.0,36.0,18.0,38.0,2.0,17.0,173.0,1.3
0.33,1.0,18.0,17.0,22.0,36.0,19.0,43.0,2.0,16.0,166.0,1.3
0.29,1.0,15.0,15.0,23.0,35.0,17.0,45.0,2.0,16.0,185.0,1.3
0.31,1.0,22.0,21.0,19.0,26.0,12.0,46.0,2.0,15.0,175.0,1.2
0.61,10.0,46.0,36.0,7.0,31.0,16.0,48.0,2.0,15.0,165.0,0.9
1.51,88.0,135.0,46.0,2.0,44.0,25.0,51.0,3.0,14.0,215.0,0.8
2.64,128.0,179.0,50.0,2.0,57.0,25.0,52.0,5.0,14.0,58.0,0.8
1.92,76.0,136.0,60.0,7.0,73.0,24.0,43.0,4.0,16.0,47.0,1.0
0.87,14.0,50.0,36.0,29.0,73.0,27.0,31.0,2.0,19.0,24.0,1.4
0.23,2.0,10.0,8.0,48.0,68.0,22.0,19.0,2.0,23.0,21.0,2.3
0.2,2.0,8.0,7.0,55.0,57.0,14.0,14.0,2.0,25.0,32.0,2.4
0.22,2.0,10.0,8.0,58.0,61.0,11.0,10.0,1.0,27.0,82.0,2.8
0.26,2.0,12.0,10.0,60.0,62.0,9.0,10.0,1.0,27.0,78.0,3.0
0.26,2.0,13.0,11.0,62.0,94.0,17.0,9.0,2.0,27.0,54.0,3.4
0.24,2.0,13.0,11.0,63.0,89.0,15.0,11.0,2.0,27.0,41.0,3.3
0.24,2.0,13.0,11.0,57.0,81.0,13.0,15.0,2.0,26.0,43.0,3.3
0.24,1.0,12.0,11.0,50.0,64.0,11.0,19.0,2.0,25.0,54.0,3.1
0.25,1.0,12.0,11.0,44.0,75.0,13.0,23.0,2.0,23.0,62.0,3.3
0.32,1.0,15.0,14.0,37.0,54.0,15.0,23.0,1.0,22.0,37.0,2.7
0.42,1.0,22.0,21.0,26.0,36.0,12.0,23.0,1.0,21.0,43.0,1.9
0.44,2.0,25.0,23.0,24.0,30.0,13.0,22.0,1.0,20.0,17.0,2.2
0.33,1.0,17.0,16.0,27.0,25.0,8.0,23.0,1.0,19.0,15.0,2.2
0.27,1.0,14.0,14.0,25.0,19.0,9.0,23.0,1.0,18.0,72.0,1.7
0.32,1.0,26.0,25.0,16.0,15.0,6.0,26.0,1.0,17.0,65.0,1.4
0.32,1.0,26.0,25.0,15.0,18.0,10.0,28.0,1.0,16.0,100.0,1.3
0.46,4.0,36.0,33.0,7.0,17.0,9.0,30.0,1.0,15.0,82.0,1.3
0.53,9.0,43.0,34.0,4.0,22.0,12.0,34.0,1.0,14.0,66.0,1.2
0.78,34.0,73.0,38.0,2.0,24.0,11.0,35.0,2.0,14.0,72.0,1.1
1.78,104.0,145.0,42.0,2.0,28.0,12.0,36.0,4.0,13.0,80.0,1.1
2.12,123.0,166.0,43.0,3.0,38.0,14.0,33.0,4.0,13.0,42.0,1.1
1.74,84.0,133.0,50.0,6.0,44.0,12.0,26.0,3.0,16.0,27.0,1.2
1.04,26.0,70.0,44.0,21.0,53.0,17.0,19.0,2.0,19.0,25.0,1.2
0.74,10.0,45.0,35.0,40.0,45.0,15.0,12.0,2.0,22.0,15.0,1.1
0.52,5.0,28.0,24.0,56.0,39.0,18.0,6.0,2.0,25.0,12.0,1.3
0.47,3.0,24.0,21.0,70.0,47.0,12.0,3.0,1.0,26.0,32.0,1.5
0.47,3.0,26.0,23.0,80.0,34.0,11.0,2.0,2.0,28.0,59.0,1.7
0.37,2.0,19.0,17.0,84.0,27.0,12.0,1.0,2.0,29.0,28.0,1.6
0.36,2.0,22.0,19.0,80.0,34.0,13.0,2.0,2.0,30.0,47.0,1.8
0.26,2.0,15.0,13.0,48.0,51.0,13.0,4.0,2.0,30.0,17.0,2.8
0.31,2.0,17.0,15.0,54.0,46.0,10.0,8.0,2.0,28.0,20.0,3.1
0.45,1.0,23.0,22.0,55.0,44.0,13.0,17.0,2.0,26.0,28.0,2.5
0.52,1.0,22.0,22.0,47.0,57.0,13.0,18.0,2.0,24.0,21.0,2.1
0.87,1.0,38.0,37.0,32.0,74.0,19.0,20.0,2.0,22.0,104.5,1.5
1.23,5.0,63.0,58.0,19.0,116.0,27.0,24.0,2.0,21.0,188.0,1.4
1.19,1.0,53.0,52.0,21.0,67.0,26.0,28.0,2.0,20.0,51.0,1.6
0.71,3.0,40.0,38.0,13.0,50.0,23.0,36.0,5.0,19.0,81.0,1.8
0.92,2.0,46.0,45.0,10.0,62.0,30.0,31.0,2.0,18.0,124.0,1.7
1.0,5.0,52.0,47.0,10.0,53.0,23.0,33.0,2.0,17.0,176.0,1.3
1.16,25.0,79.0,54.0,1.0,67.0,28.0,34.0,2.0,16.0,285.0,1.4
0.74,2.0,38.0,36.0,9.0,66.0,27.0,36.0,2.0,15.0,122.0,1.5
0.93,24.0,69.0,45.0,3.0,50.0,25.0,35.0,3.0,15.0,68.0,1.1
1.03,37.0,81.0,44.0,2.0,47.0,21.0,37.0,3.0,14.0,340.0,1.3
0.86,18.0,58.0,39.0,3.0,47.0,21.0,39.0,2.0,13.0,48.0,0.9
1.65,73.0,117.0,43.0,3.0,44.0,22.0,40.0,3.0,13.0,22.0,1.3
1.5,58.0,112.0,54.0,9.0,66.0,28.0,34.0,3.0,15.0,57.0,1.0
0.94,17.0,62.0,45.0,28.0,73.0,34.0,25.0,3.0,18.0,11.0,1.2
0.7,7.0,41.0,34.0,47.0,57.0,24.0,19.0,2.0,21.0,13.0,1.3
0.59,4.0,31.0,27.0,65.0,64.0,30.0,11.0,2.0,24.0,18.0,1.4
0.49,3.0,27.0,24.0,71.0,50.0,21.0,6.0,2.0,26.0,24.0,1.4
0.34,2.0,17.0,15.0,73.0,44.0,19.0,3.0,2.0,27.0,17.0,1.6
0.3,1.0,13.0,11.0,77.0,34.0,14.0,2.0,2.0,29.0,9.0,1.8
0.28,1.0,12.0,10.0,76.0,29.0,10.0,3.0,2.0,29.0,11.0,1.7
0.3,1.0,12.0,11.0,68.0,44.0,15.0,5.0,2.0,29.0,9.0,2.4
0.38,1.0,16.0,15.0,65.0,66.0,12.0,10.0,2.0,28.0,22.0,2.7
0.45,1.0,17.0,16.0,58.0,69.0,17.0,12.0,2.0,25.0,52.0,2.8
0.51,1.0,18.0,17.0,51.0,71.0,23.0,14.0,2.0,23.0,25.0,2.6
0.47,1.0,17.0,17.0,43.0,55.0,24.0,16.0,2.0,22.0,23.0,2.1
0.83,1.0,33.0,32.0,29.0,38.0,19.0,16.0,2.0,21.0,73.0,1.6
0.95,1.0,40.0,38.0,21.0,56.0,22.0,19.0,2.0,20.0,145.0,1.6
0.63,2.0,26.0,26.44950213371266,44.00657894736842,41.0,26.0,43.0,3.0,18.0,39.0,1.3
0.59,3.0,42.0,39.0,7.0,63.0,23.0,57.0,17.0,16.0,44.0,1.3
0.49,1.0,25.0,24.0,12.0,79.0,32.0,65.0,11.0,15.0,4.0,1.3
0.46,1.0,23.0,21.0,13.0,67.0,35.0,71.0,8.0,14.0,3.5,1.5
0.37,1.0,19.0,18.0,15.0,62.0,35.0,75.0,6.0,13.0,3.0,1.6
0.36,2.0,20.0,19.0,14.0,48.0,29.0,79.0,6.0,12.0,3.5,1.6
0.47,2.0,26.0,24.0,9.0,55.0,34.0,83.0,6.0,12.0,4.0,1.3
0.64,7.0,37.0,30.0,3.0,55.0,35.0,85.0,9.0,11.0,4.5,1.1
0.72,16.0,46.0,30.0,5.0,90.0,63.0,82.0,13.0,12.0,5.0,0.9
0.74,17.0,43.0,26.0,14.0,65.0,42.0,77.0,15.0,13.0,6.0,1.4
0.72,11.0,38.0,27.0,27.0,66.0,41.0,69.0,21.0,14.0,11.0,1.3
0.76,7.0,36.0,30.0,47.0,75.0,45.0,56.0,19.0,17.0,9.0,1.3
0.82,4.0,35.0,31.0,74.0,88.0,54.0,39.0,12.0,20.0,18.0,1.3
0.5,2.0,18.0,17.0,79.0,98.0,59.0,25.0,5.0,24.0,18.0,1.6
0.17,1.0,7.0,5.0,45.0,63.0,33.0,15.0,2.0,27.0,29.0,2.6
0.16,2.0,7.0,5.0,41.0,38.0,13.0,13.0,2.0,27.0,27.0,3.3
0.18,2.0,7.0,6.0,44.0,52.0,12.0,13.0,2.0,27.0,23.0,3.3
0.21,1.0,8.0,7.0,50.0,36.0,10.0,14.0,2.0,26.0,26.0,3.3
0.26,1.0,9.0,8.0,48.0,39.0,11.0,17.0,2.0,25.0,51.0,3.0
0.35,1.0,12.0,11.0,45.0,35.0,15.0,23.0,2.0,24.0,49.0,2.4
0.38,1.0,12.0,12.0,45.0,30.0,10.0,30.0,2.0,22.0,30.0,2.3
0.37,1.0,11.0,11.0,41.0,35.0,13.0,33.0,2.0,21.0,18.0,2.3
0.47,1.0,16.0,15.0,35.0,31.0,15.0,36.0,2.0,20.0,25.0,2.0
0.53,1.0,20.0,19.0,30.0,32.0,18.0,40.0,2.0,19.0,46.0,1.7
0.76,5.0,48.0,43.0,11.0,39.0,18.0,42.0,2.0,18.0,30.0,1.6
0.6,2.0,26.0,26.44950213371266,44.00657894736842,38.0,22.0,46.0,3.0,17.0,37.0,1.2
0.6,2.0,26.0,26.44950213371266,44.00657894736842,38.0,20.0,48.0,3.0,17.0,58.0,1.3
0.6,2.0,26.0,26.44950213371266,44.00657894736842,40.0,25.0,51.0,3.0,16.0,16.0,1.1
0.74,12.0,50.0,38.0,2.0,35.0,19.0,57.0,37.0,15.0,22.0,1.1
1.05,50.0,91.0,41.0,2.0,46.0,20.0,60.0,40.0,14.0,63.0,1.4
1.22,70.0,111.0,41.0,2.0,61.0,29.0,59.0,21.0,14.0,30.0,1.1
1.42,71.0,107.0,36.0,2.0,64.0,28.0,66.0,27.0,13.0,3.0,1.5
1.2,52.0,86.0,34.0,4.0,63.0,27.0,68.0,52.0,12.0,4.5,1.3
1.12,37.0,72.0,35.0,9.0,53.0,21.0,58.0,60.0,15.0,6.0,1.1
1.07,25.0,67.0,42.0,19.0,61.0,22.0,49.0,27.0,17.0,7.0,1.3
0.9,11.0,51.0,40.0,39.0,70.0,31.0,42.0,15.0,19.0,16.0,1.3
0.65,4.0,30.0,25.0,58.0,67.0,35.0,35.0,6.0,22.0,15.0,1.4
0.45,3.0,20.0,17.0,67.0,62.0,30.0,30.0,3.0,23.0,29.0,1.6
0.36,3.0,19.0,16.0,65.0,56.0,22.0,24.0,2.0,25.0,37.0,1.7
0.27,2.0,11.0,9.0,53.0,51.0,15.0,19.0,2.0,26.0,9.0,2.1
0.26,1.0,11.0,10.0,46.0,56.0,15.0,20.0,2.0,25.0,38.0,2.4
0.35,2.0,18.0,16.0,41.0,59.0,12.0,22.0,2.0,24.0,61.0,2.7
0.45,4.0,26.0,22.0,33.0,79.0,13.0,24.0,2.0,24.0,54.0,1.9
0.55,2.0,30.0,28.0,26.0,65.0,18.0,29.0,2.0,22.0,21.0,2.2
0.45,1.0,19.0,18.0,33.0,57.0,18.0,32.0,2.0,22.0,36.0,2.5
0.49,1.0,20.0,19.0,30.0,41.0,13.0,37.0,2.0,20.0,14.0,2.2
0.55,1.0,25.0,24.0,26.0,35.0,14.0,38.0,2.0,20.0,41.0,1.7
0.73,4.0,36.0,32.0,17.0,34.0,16.0,39.0,2.0,19.0,14.0,1.5
0.74,5.0,42.0,37.0,8.0,39.0,15.0,28.0,1.0,19.0,275.0,1.5
0.9,3.0,46.0,43.0,6.0,64.0,25.0,44.0,2.0,18.0,18.0,1.0
1.0,16.0,60.0,43.0,3.0,51.0,21.0,48.0,3.0,17.0,10.0,1.2
0.8,23.0,68.0,45.0,2.0,54.0,23.0,50.0,3.0,16.0,9.0,1.0
0.75,18.0,57.0,39.0,2.0,50.0,23.0,55.0,3.0,15.0,51.0,1.3
0.85,37.0,77.0,40.0,2.0,50.0,26.0,61.0,7.0,14.0,358.0,1.1
0.95,53.0,91.0,39.0,2.0,56.0,25.0,63.0,8.0,14.0,3.0,0.9
1.53,75.0,111.0,37.0,2.0,60.0,30.0,65.0,7.0,14.0,30.0,1.1
2.01,114.0,156.0,41.0,3.0,60.0,26.0,64.0,13.0,14.0,11.0,1.0
1.59,63.0,113.0,51.0,6.0,65.0,27.0,57.0,17.0,15.0,18.0,0.9
1.28,31.0,85.0,54.0,19.0,61.0,26.0,48.0,11.0,18.0,11.0,1.2
1.19,16.0,70.0,53.0,35.0,66.0,32.0,39.0,7.0,20.0,16.0,1.4
0.6,7.0,34.0,27.0,53.0,69.0,34.0,28.0,3.0,22.0,33.0,1.6
0.46,2.0,24.0,22.0,81.0,46.0,24.0,21.0,3.0,24.0,92.0,1.6
0.53,2.0,25.0,24.0,100.0,52.0,31.0,19.0,2.0,25.0,108.0,1.6
0.38,1.0,16.0,14.0,79.0,57.0,27.0,17.0,2.0,26.0,100.0,1.6
0.28,2.0,11.0,10.0,56.0,49.0,19.0,18.0,2.0,26.0,169.0,2.5
0.32,1.0,14.0,12.0,56.0,67.0,16.0,23.0,2.0,25.0,202.0,2.4
0.34,1.0,15.0,13.0,47.0,51.0,21.0,26.0,2.0,24.0,202.0,2.6
0.36,1.0,15.0,14.0,41.0,54.0,17.0,28.0,2.0,23.0,206.0,2.7
0.42,1.0,18.0,17.0,33.0,47.0,15.0,31.0,2.0,22.0,214.0,2.1
0.45,1.0,21.0,20.0,26.0,34.0,15.0,31.0,2.0,21.0,230.0,1.7
0.78,9.0,43.0,34.0,12.0,30.0,14.0,31.0,2.0,20.0,314.0,1.1
0.83,18.0,60.0,42.0,7.0,32.0,14.0,28.0,2.0,20.0,289.0,1.4
1.28,10.0,67.0,57.0,6.0,92.0,51.0,32.0,2.0,19.0,239.0,1.1
0.86,10.0,54.0,43.0,3.0,30.0,15.0,31.0,2.0,18.0,286.0,1.3
0.94,18.0,59.0,41.0,2.0,33.0,15.0,38.0,2.0,17.0,170.0,1.2
0.81,13.0,53.0,39.0,2.0,39.0,19.0,43.0,2.0,16.0,159.0,1.0
0.68,6.0,42.0,36.0,4.0,38.0,19.0,47.0,2.0,15.0,204.0,1.4
0.51,2.0,29.0,27.0,9.0,57.0,29.0,46.0,3.0,14.0,202.0,1.3
0.69,11.0,45.0,34.0,4.0,61.0,39.0,47.0,2.0,14.0,211.0,1.1
1.07,35.0,71.0,36.0,2.0,52.0,30.0,50.0,3.0,13.0,204.0,1.1
1.66,63.0,101.0,38.0,4.0,48.0,21.0,49.0,3.0,13.0,191.0,1.2
1.14,35.0,74.0,39.0,10.0,56.0,23.0,42.0,4.0,15.0,164.0,1.1
1.24,27.0,78.0,51.0,20.0,53.0,20.0,36.0,3.0,17.0,63.0,1.1
1.03,16.0,64.0,48.0,36.0,72.0,35.0,30.0,5.0,20.0,18.0,1.4
0.6,2.0,26.0,26.44950213371266,44.00657894736842,53.0,26.905244601145878,25.0,3.0,21.0,30.0,1.6
0.6,2.0,26.0,26.44950213371266,44.00657894736842,53.0,26.905244601145878,21.0,3.0,23.0,68.0,1.4
0.6,2.0,26.0,26.44950213371266,44.00657894736842,53.0,26.905244601145878,19.0,3.0,24.0,131.0,1.6
0.6,2.0,26.0,26.44950213371266,44.00657894736842,53.0,26.905244601145878,17.0,3.0,25.0,100.0,1.6
0.29,0.0,11.0,12.0,70.0,56.0,27.0,17.0,3.0,26.0,132.0,1.9
0.29,0.0,11.0,11.0,59.0,69.0,25.0,21.0,2.0,25.0,162.0,2.3
0.34,0.0,13.0,14.0,54.0,74.0,21.0,23.0,2.0,24.0,200.0,2.5
0.4,0.0,16.0,16.0,48.0,66.0,22.0,23.0,3.0,23.0,201.0,2.7
0.49,0.0,19.0,19.0,42.0,71.0,26.0,25.0,2.0,22.0,190.0,2.2
0.58,0.0,22.0,22.0,37.0,51.0,21.0,27.0,2.0,21.0,182.0,1.9
0.73,0.0,30.0,30.0,26.0,48.0,20.0,30.0,2.0,20.0,174.0,1.5
1.26,11.0,69.0,58.0,6.0,54.0,25.0,30.0,2.0,19.0,42.0,1.1
0.51,0.0,23.0,23.0,17.0,31.0,17.0,26.0,2.0,20.0,152.0,1.4
0.69,0.0,32.0,32.0,19.0,70.0,33.0,34.0,2.0,18.0,205.0,1.5
0.79,2.0,42.0,40.0,8.0,57.0,27.0,37.0,2.0,17.0,210.0,1.1
0.48,1.0,28.0,27.0,13.0,62.0,32.0,40.0,2.0,17.0,172.0,1.1
0.52,2.0,32.0,30.0,10.0,45.0,27.0,41.0,2.0,16.0,242.0,1.1
0.63,12.0,48.0,35.0,6.0,47.0,24.0,44.0,2.0,16.0,229.0,1.2
0.61,9.0,45.0,35.0,4.0,51.0,28.0,47.0,2.0,15.0,200.0,1.0
1.24,43.0,83.0,40.0,2.0,45.0,24.0,48.0,3.0,15.0,192.0,0.9
3.57,194.0,242.0,48.0,3.0,52.0,25.0,52.0,6.0,14.0,289.0,1.3
1.64,61.0,110.0,49.0,8.0,108.0,40.0,41.0,3.0,16.0,178.0,1.1
1.05,20.0,66.0,45.0,23.0,78.0,30.0,34.0,2.0,19.0,122.0,1.1
0.64,7.0,36.0,29.0,39.0,65.0,29.0,25.0,2.0,21.0,169.0,1.3
0.38,3.0,19.0,16.0,49.0,52.0,26.0,17.0,2.0,23.0,93.0,1.6
0.16,1.0,7.0,6.0,40.0,41.0,14.0,11.0,1.0,25.0,159.0,1.7
0.14,1.0,7.0,6.0,39.0,28.0,7.0,10.0,2.0,26.0,126.0,1.7
0.16,1.0,9.0,7.0,40.0,33.0,7.0,10.0,2.0,27.0,206.0,2.8
0.16,1.0,9.0,8.0,40.0,45.0,7.0,10.0,2.0,27.0,214.0,2.7
0.2,2.0,11.0,9.0,42.0,37.0,10.0,10.0,2.0,26.0,217.0,3.0
0.25,2.0,12.0,11.0,38.0,39.0,9.0,12.0,2.0,25.0,213.0,3.2
0.3,1.0,16.0,15.0,33.0,47.0,13.0,16.0,2.0,24.0,212.0,2.9
0.4,1.0,18.0,17.0,35.0,41.0,14.0,22.0,2.0,22.0,205.5,2.5
0.53,1.0,19.0,18.0,36.0,44.0,22.0,26.0,2.0,21.0,199.0,1.8
0.45,0.0,16.0,16.0,27.0,47.0,28.0,26.0,2.0,21.0,202.0,1.9
0.45,1.0,20.0,20.0,20.0,35.0,19.0,27.0,2.0,20.0,161.0,1.5
1.41,39.0,83.0,43.0,3.0,59.0,21.0,26.0,3.0,19.0,275.0,1.3
0.66,2.0,33.0,31.0,10.0,28.0,14.0,29.0,2.0,19.0,246.0,1.2
0.46,0.0,23.0,23.0,14.0,40.0,19.0,31.0,2.0,18.0,184.0,1.3
0.41,1.0,20.0,20.0,14.0,35.0,18.0,34.0,2.0,16.0,234.0,1.3
0.33,1.0,21.0,20.0,13.0,39.0,22.0,35.0,2.0,16.0,212.0,1.5
0.37,2.0,26.0,24.0,9.0,38.0,23.0,37.0,2.0,15.0,206.0,1.4
0.65,27.0,59.0,32.0,5.0,32.0,20.0,38.0,2.0,15.0,257.0,1.1
1.26,64.0,100.0,36.0,2.0,31.0,15.0,40.0,3.0,14.0,260.0,0.8
1.74,91.0,128.0,37.0,3.0,45.0,23.0,41.0,4.0,15.0,226.0,0.8
2.04,103.0,159.0,55.0,5.0,56.0,22.0,36.0,4.0,16.0,65.0,1.3
1.76,78.0,158.0,81.0,11.0,73.0,29.0,32.0,5.0,18.0,76.0,1.3
0.91,19.0,70.0,51.0,30.0,84.0,42.0,23.0,3.0,21.0,145.0,1.2
0.51,5.0,28.0,23.0,44.0,59.0,32.0,14.0,2.0,23.0,160.0,1.4
0.32,2.0,16.0,14.0,52.0,37.0,16.0,11.0,2.0,25.0,243.0,1.4
0.16,1.0,8.0,7.0,46.0,37.0,14.0,13.0,1.0,26.0,177.0,1.7
0.18,1.0,9.0,8.0,46.0,31.0,11.0,11.0,2.0,26.0,56.0,2.1
0.2,1.0,11.0,10.0,51.0,39.0,10.0,11.0,2.0,26.0,3.0,1.4
0.28,2.0,14.0,12.0,50.0,34.0,12.0,15.0,2.0,26.0,196.0,2.1
0.34,1.0,14.0,13.0,42.0,50.0,15.0,19.0,2.0,25.0,210.0,2.5
0.39,0.0,16.0,16.0,38.0,53.0,15.0,20.0,2.0,23.0,211.0,2.5
0.53,1.0,20.0,19.0,32.0,43.0,12.0,21.0,2.0,22.0,187.0,1.9
0.67,0.0,24.0,23.0,25.0,42.0,18.0,21.0,2.0,22.0,154.0,1.6
0.87,1.0,35.0,34.0,12.0,49.0,21.0,21.0,2.0,21.0,168.0,1.6
1.24,17.0,61.0,43.0,4.0,70.0,26.0,23.0,2.0,20.0,132.0,1.1
0.88,2.0,26.0,26.44950213371266,44.00657894736842,31.0,16.0,26.0,3.0,19.0,185.0,1.3
1.23,44.0,91.0,47.0,2.0,64.0,28.0,31.0,4.0,18.0,151.0,0.9
0.86,29.0,77.0,48.0,2.0,64.0,25.0,36.0,4.0,18.0,287.0,1.3
0.86,27.0,70.0,43.0,2.0,70.0,27.0,36.0,3.0,17.0,50.0,1.1
0.77,25.0,62.0,38.0,2.0,66.0,29.0,36.0,2.0,16.0,150.0,1.0
0.73,16.0,54.0,37.0,2.0,47.0,22.0,37.0,2.0,16.0,100.0,1.0
0.81,20.0,52.0,32.0,2.0,50.0,24.0,39.0,2.0,15.0,187.0,1.3
1.21,42.0,73.0,31.0,2.0,50.0,22.0,41.0,3.0,14.0,187.0,1.3
1.28,46.0,76.0,31.0,3.0,65.0,32.0,40.0,3.0,14.0,201.0,1.1
0.94,24.0,55.0,31.0,11.0,70.0,34.0,35.0,2.0,16.0,196.0,1.2
0.96,18.0,56.0,38.0,22.0,79.0,32.0,30.0,3.0,19.0,192.0,1.1
0.56,5.0,31.0,26.0,42.0,90.0,37.0,27.0,19.0,21.0,100.0,1.3
0.57,3.0,30.0,26.0,56.0,62.0,30.0,22.0,15.0,23.0,87.0,1.6
0.48,2.0,22.0,20.0,71.0,63.0,30.0,17.0,9.0,25.0,84.0,1.6
0.26,1.0,9.0,9.0,64.0,56.0,27.0,13.0,4.0,26.0,102.0,1.6
0.21,1.0,9.0,8.0,54.0,52.0,21.0,11.0,2.0,27.0,179.0,2.5
0.22,1.0,10.0,9.0,45.0,67.0,15.0,9.0,2.0,27.0,207.0,3.2
0.24,1.0,10.0,9.0,47.0,68.0,16.0,11.0,2.0,26.0,200.0,3.1
0.25,1.0,11.0,10.0,43.0,57.0,15.0,13.0,2.0,25.0,201.0,3.3
0.27,0.0,12.0,11.0,40.0,55.0,10.0,17.0,2.0,24.0,213.0,2.5
0.35,0.0,14.0,14.0,36.0,38.0,10.0,20.0,2.0,23.0,205.0,1.9
0.34,0.0,13.0,13.0,31.0,32.0,12.0,20.0,2.0,22.0,204.0,2.1
0.7,4.0,32.0,28.0,16.0,27.0,11.0,22.0,2.0,21.0,203.0,1.6
0.69,2.0,26.0,24.0,15.0,33.0,15.0,24.0,2.0,20.0,194.5,1.2
0.61,2.0,29.0,27.0,8.0,26.0,13.0,25.0,2.0,20.0,186.0,1.2
0.6,2.0,26.0,26.44950213371266,44.00657894736842,32.0,14.0,27.0,3.0,18.0,215.0,1.2
0.6,2.0,26.0,26.44950213371266,44.00657894736842,36.0,17.0,26.0,3.0,17.0,198.0,1.3
0.6,2.0,26.0,26.44950213371266,44.00657894736842,32.0,13.0,28.0,3.0,17.0,178.0,1.0
0.79,10.0,42.0,32.0,3.0,37.0,15.0,31.0,2.0,16.0,232.0,1.1
0.6,5.0,35.0,30.0,4.0,37.0,18.0,33.0,2.0,16.0,224.0,1.0
0.88,22.0,52.0,30.0,2.0,32.0,17.0,35.0,2.0,15.0,166.0,1.1
1.02,33.0,63.0,30.0,2.0,39.0,20.0,35.0,3.0,15.0,233.0,1.0
1.68,78.0,111.0,33.0,3.0,41.0,21.0,37.0,4.0,15.0,310.0,1.1
1.77,79.0,131.0,52.0,6.0,66.0,27.0,30.0,4.0,17.0,335.0,1.1
1.48,46.0,124.0,78.0,20.0,55.0,24.0,25.0,3.0,20.0,26.0,1.2
0.8,9.0,52.0,43.0,41.0,64.0,38.0,20.0,3.0,21.0,15.0,1.5
0.4,3.0,22.0,19.0,51.0,56.0,36.0,14.0,3.0,23.0,63.0,1.4
0.35,2.0,16.0,14.0,62.0,41.0,27.0,12.0,3.0,24.0,327.0,1.6
0.34,1.0,13.0,13.0,75.0,32.0,19.0,11.0,3.0,25.0,197.0,1.6
0.31,0.0,10.0,10.0,75.0,39.0,24.0,11.0,3.0,26.0,200.0,1.8
0.27,1.0,10.0,9.0,49.0,37.0,17.0,16.0,2.0,26.0,205.0,3.0
0.29,0.0,10.0,9.0,45.0,56.0,15.0,19.0,2.0,25.0,200.0,3.0
0.27,1.0,10.0,10.0,39.0,57.0,15.0,19.0,2.0,25.0,206.0,2.8
0.29,0.0,11.0,11.0,34.0,49.0,14.0,21.0,2.0,24.0,207.0,2.6
0.32,0.0,10.0,10.0,33.0,39.0,13.0,24.0,2.0,23.0,181.0,2.1
0.46,0.0,15.0,14.0,26.0,32.0,14.0,23.0,2.0,22.0,179.0,1.4
0.65,2.0,26.0,24.0,16.0,31.0,15.0,24.0,2.0,22.0,223.0,1.0
0.48,1.0,25.0,24.0,14.0,35.0,17.0,23.0,2.0,21.0,222.0,1.1
0.41,3.0,28.0,25.0,12.0,80.0,27.0,62.0,2.0,18.0,318.0,2.0
0.68,2.0,31.0,29.0,6.0,28.0,15.0,27.0,2.0,20.0,171.0,2.0
